344 0 31 32 0
344 2 4 20 33554418
345 0 32 33 0
345 1 33554418 33554417 253
346 0 33 34 0
346 1 20 0 252
347 0 34 35 0
348 0 35 36 0
349 0 36 37 0
350 0 37 38 0
351 0 38 39 0
352 0 39 40 0
352 1 0 41 252
353 0 40 2 0
354 0 2 3 0
354 1 33554419 1 251
355 0 3 5 0
356 0 5 6 0
356 1 3 2 1
357 0 6 7 0
357 1 1 33554417 251
358 0 7 8 0
358 2 2 3 33554417
359 0 8 9 0
359 1 3 2 0
360 0 9 10 0
360 1 33554417 33554416 253
361 0 10 11 0
361 2 20 41 33554416
362 0 11 12 0
362 1 33554416 33554415 253
363 0 12 13 0
363 1 41 0 252
364 0 13 14 0
365 0 14 15 0
366 0 15 16 0
367 0 16 17 0
368 0 17 18 0
369 0 18 19 0
369 1 0 20 252
370 0 19 2 0
371 0 2 3 0
371 1 33554417 1 251
372 0 3 5 0
373 0 5 6 0
373 1 2 1 1
374 0 6 7 0
374 1 1 33554415 251
375 0 7 8 0
376 0 8 9 0
376 1 2 1 0
377 0 9 10 0
377 1 33554415 33554414 253
378 0 10 11 0
378 2 1 20 33554414
379 0 11 12 0
379 1 33554414 33554413 253
380 0 12 13 0
380 1 20 0 252
381 0 13 14 0
382 0 14 15 0
383 0 15 16 0
384 0 16 17 0
385 0 17 18 0
386 0 18 19 0
386 1 0 20 252
387 0 19 2 0
388 0 2 3 0
388 1 33554415 1 251
389 0 3 4 0
390 0 4 49 0
391 0 49 20 0
392 0 20 21 0
392 1 33554413 33554414 253
393 0 21 22 0
393 1 1 20 251
394 0 22 23 0
394 1 33554414 33554415 253
395 0 23 24 0
396 0 24 25 0
396 1 20 33554415 251
397 0 25 26 0
397 1 1 2 1
398 0 26 27 0
398 1 2 0 1
399 0 27 28 0
399 1 33554415 33554414 251
400 0 28 29 0
400 2 20 1 33554414
401 0 29 30 0
401 1 1 0 0
402 0 30 31 0
402 1 33554415 33554413 253
403 0 31 32 0
403 2 41 20 33554413
404 0 32 33 0
404 1 33554413 33554412 253
405 0 33 34 0
405 1 20 0 252
406 0 34 35 0
407 0 35 36 0
408 0 36 37 0
409 0 37 38 0
410 0 38 39 0
411 0 39 40 0
411 1 0 41 252
412 0 40 2 0
413 0 2 3 0
413 1 33554414 1 251
414 0 3 4 0
415 0 4 49 0
416 0 49 41 0
417 0 41 42 0
417 1 33554412 33554413 253
418 0 42 43 0
418 1 1 20 251
419 0 43 44 0
419 1 33554413 33554415 253
420 0 44 45 0
420 1 41 20 252
421 0 45 46 0
421 1 20 33554414 251
422 0 46 47 0
422 1 0 1 1
423 0 47 48 0
423 1 0 1 0
424 0 48 20 0
425 0 20 21 0
425 1 33554415 33554416 253
426 0 21 22 0
426 1 33554414 41 251
427 0 22 23 0
427 1 33554416 33554417 253
428 0 23 24 0
428 1 20 41 252
429 0 24 25 0
429 1 41 33554417 251
430 0 25 26 0
430 1 1 3 1
431 0 26 27 0
431 1 3 1 1
432 0 27 28 0
432 1 33554417 33554416 251
433 0 28 29 0
433 2 41 1 33554416
434 0 29 30 0
435 0 30 31 0
435 1 33554417 33554415 253
436 0 31 32 0
436 2 2 41 33554415
437 0 32 33 0
437 1 33554415 33554414 253
438 0 33 34 0
438 1 41 0 252
439 0 34 35 0
440 0 35 36 0
441 0 36 37 0
442 0 37 38 0
443 0 38 39 0
444 0 39 40 0
444 1 0 41 252
445 0 40 2 0
446 0 2 3 0
446 1 33554416 1 251
447 0 3 4 0
448 0 4 49 0
449 0 49 41 0
450 0 41 42 0
450 1 33554414 33554415 253
451 0 42 43 0
451 1 1 41 251
452 0 43 44 0
452 1 33554415 33554417 253
453 0 44 45 0
454 0 45 46 0
454 1 41 33554416 251
455 0 46 47 0
456 0 47 48 0
456 1 1 2 0
457 0 48 41 0
458 0 41 42 0
458 1 33554417 33554418 253
459 0 42 43 0
459 1 33554416 20 251
460 0 43 44 0
460 1 33554418 33554420 253
461 0 44 45 0
461 1 41 20 252
462 0 45 46 0
462 1 20 33554419 251
463 0 46 47 0
463 1 1 3 1
464 0 47 48 0
464 1 2 5 0
465 0 48 20 0
466 0 20 21 0
466 1 33554420 33554421 253
467 0 21 22 0
467 1 33554419 20 251
468 0 22 23 0
468 1 33554421 33554422 253
469 0 23 24 0
470 0 24 25 0
470 1 20 33554422 251
471 0 25 26 0
471 1 3 6 1
472 0 26 27 0
472 1 6 4 1
473 0 27 28 0
473 1 33554422 33554421 251
474 0 28 29 0
474 2 20 5 33554421
475 0 29 30 0
475 1 5 4 0
476 0 30 31 0
476 1 33554422 33554420 253
477 0 31 32 0
477 2 5 20 33554420
478 0 32 33 0
478 1 33554420 33554419 253
479 0 33 34 0
479 1 20 0 252
480 0 34 35 0
481 0 35 36 0
482 0 36 37 0
483 0 37 38 0
484 0 38 39 0
485 0 39 40 0
485 1 0 41 252
486 0 40 2 0
487 0 2 3 0
487 1 33554421 1 251
488 0 3 5 0
489 0 5 6 0
489 1 4 3 1
490 0 6 7 0
490 1 1 33554419 251
491 0 7 8 0
491 2 3 4 33554419
492 0 8 9 0
492 1 4 3 0
493 0 9 10 0
493 1 33554419 33554418 253
494 0 10 11 0
